original,disfluent
Who is the final judge of right and wrong?,"What person, rather, who is the final judge of right and wrong?"
What was the name of the battle that marked the first Confederate win in Florida?,Who was or rather what was the name of the battle that marked the first Confederate win in Florida?
Who is the Bungie founder and developer of the dance video game?,Who video game I mean is the Bungie founder and developer of the dance video game?
In what year did the Black Death spread into England?,In what year was J.I. Pontanus born no sorry in what year did the Black Death spread into England?
 What law did not justify British imperialism?,Imperialism is no What law did not justify British imperialism?
How successful was the French revised efforts?,What naval er how successful was the French revised efforts?
What do Germans call private schools?,What do Western Europe uh more specifically Germans call private schools?
What is the name of the Pulitzer Prize novelist who was also a university alumni? ,What is the name of the alumni no Pulitzer Prize novelist who was also a university alumni?
 What did Iqbal's Allahabad address not inspire?,What did Iqbal's Allahabad address inspire or rather what did it not inspire?
"In extended fluids, similarities in pressure result in forces being directed where?",What does not have extended structure no change that to where are forces directed as a result of similarities in pressure in extended fluids?
The Hochrhein more than doubles the Rhine's water discharge to what amount?,Where does instead the Hochrhein more than doubles the Rhine's water discharge to what amount?
Who was the British explorer chartered the St. John's River?,Who was the French explorer chartered the St. John's River no English explorer?
What illustrates the relationships between rock and crystal?,What illustrates the relationships between metamorphism no rock and crystal?
What type of person would be involved in a test case in federal court?,What type of person would be involved in a civil I mean test case in federal court?
What is a kind of defense response that makes the entire plant resistant to a particular agent?,Where is no make that what is a kind of defense response that makes the entire planet resistant to a particular agent?
What is the logic behind the cicadas outbreak?,"Where do cicadas, no let me ask, what is the logic behind the cicadas outbreak?"
What American actor is also a university graduate?,What American founder is also a university graduate no what actor?
Who added to Dioscorides' book in the Islamic Golden Age?,When did or no make that who added to Dioscordies' book in the Islamic Golden Age?
What equals the spring reaction force on an object suspended on a spring reaction scale? ,What can spring oh no what equals the spring reaction force on an object suspended on a spring reaction scale?
What is the name of the CBS affiliate in Fresno?,What is the name of the CBS infiltrate in Fresno oops that's CBS affiliate in Fresno?
How might gravity effects be observed differently according to Newton?,How might gravity determine no effects being observed differently according to Newton?
This causes the rock unit as a whole to become longer and thinner. ,This causes sediment to become longer and thinner or rather rock units as a whole to become longer and thinner.
Where did British kill many Acadians?,"Where did France, sorry it was the British, kill many Acadians?"
Who leads the Student Government?,Who leads the Model UN or no make that the Student Government?
Under which policy are labor unions discouraged?,Which set er under which policy are labor unions discouraged?
What is it called when people in society rebel against laws they think are unfair?,when people in society rebel against laws they think are unfair it is called what?
There were many Mongols with what unexpected status?,There were many Semu er Mongols with what unexpected status?
What force acts on an object suspended on a spring scale in addition to gravity?,What force acts on a device no um an object suspended on a spring scale in addition to gravity?
Where is Samuel Marsden Collegiate School located?,What denomination is the Diocesan where is Samuel Marsden Collegiate School located?
Vice President Agnew describes Civil disobedience in what activities?,Vice President Cohen or rather Agnew describes Civil disobedience in what activities?
The House of Lords introduced qualifications for which position?,The House of Lords must uh or better introduced qualifications for which position?
What is one thing that market segments publish?,Which or no make that what is one thing that market segments publish?
What compounds can be masked with the molecules of the host cell in order for a virus to evade detection?,"What compounds can be masked with the molecules of the host cell in order for amino acids to evade detection, uh actually for a virus to evade detection?"
What to do university students find the dated sixteenth century?,When or what to do university students find the dated sixteenth century?
Where are the least amount of the factories found?,Where are the least amount of the water pollution no the least amount of factories found?
When have humans started impacting the delta?,What centuries uhh when have humans started impacting the delta?
What test is especially useful for tests of the form 2p-1?,Whose test no which one is especially useful for tests of the form 2p-1?
Some people describe what between individuals or groups as non-imperialism or non-colonialism?,Some people describe which or no make that what between individuals or groups as non-imperialism or non-colonialism?
nequality in the presence of credit market perfections has what kind of effect on human capital formation?,When did Galor  i mean nequality in the presence of credit market perfections has what kind of effect on human capital formation?
How would the geographical societies in Europe support certain travelers?,How would the geographical societies in Europe reject certain travelers no sorry how would they support those travelers?
What kind of sediment particles are there?,What kind of species err rather sediment  particles are there?
The transportation law allows personal aircraft to share the roadways with what?,When did the uh actually no who did the transportation law allow personal aircraft to share the roadways with?
Who influenced the Taliban's ideology?,What did or uh who influenced the Taliban's ideology?
What increases with the increase of income inequality?,What increases Survival  no sorry what increases with the increase of income inequality?
When do cash flow problems exist?,When is it that a financial issue occurs I mean cash mean flow issues?
How did the Camden 28 decide to submit themselves to the court after pleading guilty?,How did the Camden 28 decide to use solidarity tactics to secure no no decide to submit themselves to the court after pleading guilty?
What are the two principal Asian-American groups living in the west side neighborhood of Fresno?,The west  whoops What are the two principal Asian-American groups living in the west side neighborhood of Fresno?
What is the weakest main interaction?,What is the strongest no no the weakest main interaction?
Aristotle believed that objects in motion on Earth would stay that way if what?,"Aristotle believed that elements, sorry, objects in motion on Earth would stay that way if what?"
What can any number larger than 6 can be represented as?,Which or no make that what can any number larger than 6 be represented as?
What were casualties of battle?,Who was no what were casualties of battle?
What has had a negative impact on the labor markets in the US?,What has had a negative impact on organized labor or wait make that on the labor markets in the US?
When was Garrison born?,Where was or no make  that when was Garrison born?
What is the largest main branch of the Rhine?,"What is the largest main branch of the Pannerdens Kanaal, sorry that should be the Rhine?"
What fields may pharmacy informatics also work in?,What two things no What fields may pharmacy informatics also work in?
Why has Bloc seen many improvements over the past decade?,What suffered considerably for Warsaw oh rather why has Bloc seen many improvements over the past decade?
What has crime rate been shown not to be correlated with in a society?,How has or no rather what has crime rate been shown not to be correlated with in a society?
What is the name of Harvard's primary recreational sports facility?,What is the Lavietes pavilion at Harvard I mean what is the name of Harvard's primary recreational sports facility?
 When was earthenware movable type destroyed?,When was Taoist movable type destroyed no earthenware?
What military branch does much of Jacksonville's Arab population have ties to?,"What military branch does much of Jacksonville's  Filipino population have ties to, I mean it's Arab population?"
From the perspective of whom in the car is the vehicle and everything inside of it at rest?,"What doesn't, or rather, from the perspective of whom in the car is the vehicle and everything inside of it at rest?"
What was Leon's first literary cabaret?,What was Schiller's or no make that Leon's first literary cabaret?
Whose activities were the French able to lose knowledge of?,What difficulties or rather whose activities were the French able to lose knowledge of?
What Shakespeare scholar is currently on the university's faculty?,"Who is the current, oh no, what Shakespeare scholar is currently on the university's faculty?"
The US Government can refer the bill to whom?,The US Government can submit er better refer the bill to whom?
What tracts does commensal flora help pathogens thrive in?,What tracts does bacterial gastroenteritis no commensal flora help pathogens thrive in?
What kind of sleep was discovered at the U of C in 1947?,What kind of sleep was discovered at the U of C in 1953 no 1947?
An MSP may introduce a bill as what?,An MSP may introduce a bill as the Scottish Government or amend existing law as no aswhat?
Who lost money?,Who won no wait Who lost money?
In which county does Jacksonville reside?,In which county does Duval I mean Jacksonville reside?
 How did the Yuan come to have the 8 schools of medicine?,"How did the Jin dynasty come to have the 8 schools of medicine, no actually how did the Yuan have the schools?"
What types of pharmacy functions have begun to be outsourced?,What types of hospital functions or no make that pharmacy functions have begin to be outsourced?
What are fossil sequences applied to?,Which are or rather what are fossil sequences applied to?
Who was one of the most famous people born in Wola?,What was er who was one of the most famous people born in Wola?
Phagocytosis first evolved as means of doing what?,When did Phagocytosis I mean what were they used for when they first evolved?
What does following the rules help to preserve with a protest?,What does being a Conservative do no what does following the rules help to preserve with a protest?
When did Germany invade Poland and in doing so start World War I?,How I mean when did Germany invade Poland and in doing so start World War I?
 When weren't Joseph Schumpeter and Norman Angell at their most prolific writing period?,When weren't J.A. Hobson no Joseph Schumpeter and Norman Angell at their most prolific writing period?
What kingdom annexed Duchy in 1796?,What kingdom annexed Warsaw the capital of the Polish-Lithuanian Commonwealth er make that Duchy in 1796?
What is St. John's Castle the most interesting example of?,What is St. John's Castle represented no um sorry the most interesting example of?
What is the jelly-like susbtance called?,Which group no what is the jelly-like substance called?
What can faith groups ask the Presiding Officer to do for them?,How long er what can faith groups ask the Presiding Officer to do for them?
When was the measurement of the Rhine introduced? ,When was the scale to weigh the Rhine introduced shoot when was the measurement of the Rhine introduced?
"What did Ibn Sina, who lived from 1031-1095 base his hypothesis for land formation on?","What did Ibn Sina, who lived from 1031-1095 base his hypothesis for construction, no wait, land formation on?"
How many bodies of water makes up Lake Constance? ,How many bodies of water make up the Rhine oops Lake Constance?
What river is considered to be not so clean nowadays?,"What sea port is considered to be not so clean nowadays, oh I mean what river isn't anymore?"
What did some of the Islamist groups supported by the West later become to be seen as?,What did the non-Afghan veterans returning home have in addition to their prestige no sorry what were Islamist groups formerly supported by the West come to be seen as?
How many factors of health and social problems did Wilkinson and PIckett not identify?,How many states no the factors of health and social problems did Wilkinson and Pickett not identify?
If 15 were to be considered as prime what would the sieve of Eratosthenes yield for all other numbers?,"If 15 were to be considered as prime what would the sieve of Euclid sorry, rather Eratosthenes yield for all other numbers?"
Are sheaths wider or narrower in size near the mouth?,Are tentacles or no make that sheaths wider or narrower in size near the mouth?
What lab does the university have a joint stake in? ,Which lab or no rather what lab does the university have a joint stake in?
 What did the Islamic State proclaim itself in 2015?,"What did the Islamic State proclaim itself in 2014, make that 2015?"
What can the growth elasticity of poverty not depend on?,How can the or no rather what can the growth elasticity of poverty not depend on?
How many missles were at the nuclear test site?,The result of the disobedience protesting the nuclear site was How many missles were at the nuclear test site?
The Taliban was so different from other moments that they could be more accurately described as being what?,"The Taliban was so different from other countries er uh forgive me, moments that they could be more accurately described as being what?"
How long were the fighters of the German Ghetto Uprising able to hold out?,How long were the fighters of the Poland sorry German Ghetto Uprising able to hold out?
How many hundred of years was Scotland directly governed by the parliament of Great Britain?,How did the commission promote Scottish self-governance no change that to how many hundred of years was Scotland directly governed by the parliament of Great Britain?
The Second World War caused what to be shelved?,What was no The Second World War caused what to be shelved?
The Kronenberg Palace had been an exceptional example of what type of architecture?,The Warsaw Philharmony edifice umm rather the Kronenberg Palace had been an exceptional example of what type of architecture?
When was the University Library founded?,"How, sorry, when was the University Library founded?"
When was a study conducted of Swedish counties?,When was economist no a study conducted of Swedish counties?
Who is elected at the beginning of each term?,"Who makes, no let me ask, who is elected at the beginning of each term?"
In what century did the North Sea discharge into the Nederrijn river?,In what century did branches Waal and Nederrijn-Lek um the North Sea discharge into the Nederrijn river?
What is the name of another type of prime here p+1 or p-1 takes a certain shape?,What is the name of another type of test I mean prime here p+1 or p-1 takes a certain shape?
Where does manufacturing take place?,When does Where does manufacturing take place?
What body would determine that funding for course content is forbidden?,What schools er body would determine that funding for course content is forbidden?
"What can and old, ill man not do?","What can an old, ill man do or rather not do?"
What is the name given to the university's main library?,"In what year, actually, what is the name given to the university's main library?"
What was one of the cities that had a port on the Black Sea?,What was one of the countries no the cities that had a port on the Black Sea?
Where was French withdrawal to?,Where was the British or instead the French withdrawal to?
What are found in fossils?,What helps or rather what are found in fossils?
When did the Iranian government not get a resurgence?,Who stated er when did the Iranian government not get a resurgence?
Who are elected using an open ballot?,What type er who are elected using an open ballot?
What does sleep have no effect on?,How does sleep I mean what does sleep have no effect on?
Where does the North Sea discharge into?,Where does the Rotterdam no the North Sea discharge into?
How much larger would cicada predator populations be if cicada outbreaks occurred at 14 and 15 year intervals?,How do cicada predator populations grow I mean how much larger would they be if cicada outbreaks occurred at 14 and 15 year intervals?
When was the first Sino-Japanese War?,When was the second umm rather first Sino-Japanese War?
What were the national elections in 1994 canceled by?,What were the national elections in 1990 hold on 1994 canceled by?
Was was the plan for Langlades mission?,How was or no rather what was the plan for Langlades mission?
Who accepts the notion of the Kuznets curve hypothesis?,What no no who accepts the notion of the Kuznets curve hypothesis?
Who did the Ottoman empire ally with in WW I?,Who did Germany or make that the Ottoman empire ally with in WW I?
Who refused to endorse the IPCC?,Who refused to endorse the UNEP  uh IPCC?
Invertebrates do not generate what type of cells that are a part of the vertebrate adaptive immune system?,Invertebrates do not generate what type of lymphocytes uh er cells that are a part of the vertebrate adaptive immune system?
What does the world's first Museum of Posters have one of the largest collections of in the world?,The world's first Museum of Posters have prestigious no one of the largest collections of in the world of what?
When was the military-political complex reflected upon within the scope of understanding imperialism?,When was the debated no the military-political complex reflected upon within the scope of understanding imperialism?
When wasn't the French and Indian War?,When was no no um wasn't the French and Indian War?
What does the Beroe eat? ,What does Mnemiopsis er the Beroe eat?
When did France take control of London?,When did France take control of Algeria I mean London?
Who was the chairman of the House Committee on Energy and Commerce?,"Who was the chairman of the U.S. National Academy of Sciences, no sorry the House Committee on Energy and Commerce chairman?"
Who has the task of ensuring party members vote according to the party line?,Who has the instructions of ensuring party members vote according to the party line no the task?
Why do the island archipelagos comprise a smaller number of electors?,"Why do the island archipelagos comprise a smaller number of constituencies, no electors?"
What does the statocyst split to connect with?,"How many, no let me ask, what does the statocyst split to connect with?"
What is the name of the co-ed community service fraternity?,How is or no rather what is the name of the co-ed community service fraternity?
What is the term for an Indian private school?,What body in India provides policy directions to schools no no just tell me what is the term for an Indian private school?
"If q=9 and a=3, 6 or 9, how many wraps would be in the progression?","If q=9 and a=3, 6 or 9, how many primes would be in the progression or rather how many wraps would be in the progression?"
 How many successors of Kublai was Toghun the first of?,"How many successors of Kublai was Toghun the ninth of, no was he the first of?"
What must Sophocles do instead of following the king's will?,"What must Oedipus no no disregard, what must Sophocles do instead of following the king's will?"
When did the Last Glacial Maximum peak?,When was the beginning of the Pleistocene no sorry tell me when the Last Glacial Maximum peaked?
What year was the first class taught at the University of Chicago?,When was the first class taught at the University of Texas no sorry Chicago?
Complex devices such as weighing scales are used when measuring what?,Complex devices they umm for things such as weighing scales are used when measuring what?
What are the bodies of cilia also called?,What are the bodies of ctenophores no cilia also called?
What debate is a debate on a motion proposed by an MSP who is not a Scottish minister?,Which debate What debate is a debate on a motion proposed by an MSP who is not a Scottish minister?
What were the native inhabitants of Australia called?,What people no sorry tell me what were the native inhabitants of Australia called?
What is the United States at risk for because of the recession of 2000?,What is the United States at risk for because of the recession of 2008-2009 no the recession of 2000?
Why might customers order from internet pharmacies?,Why might customers say umm order online or umm from internet pharmacies?
How are the client and subcontractor linked?,What are three instead uh how are the client and subcontractor linked?
How was Tymnet connected to dozens of other private networks?,How was the public network business allowed oh uh Tymnet connected to dozens of other private networks?
On-line betting was supported by what network frame?,"On-line betting was supported by what applications, no sorry meant to say, network frame?"
How far does one pharmacy in Croatia date back to?,How far does one pharmacy in Estonia or rather in Croatia date back to?
What helps the interior designers during integration?,What helps the interior designers during construction no integration?
University of Chicago scholars played a major part in what development?,a major part was played by University of Chicago scholars in what development?
Who thought the world could be split into climatic zones?,Why did no who thought the world could be split into climatic zones?
What group fully funds preschool?,How is preschool no wait What group fully funds preschool?
What is the lower thermal boundary layer called?,Where is the or no make that what is the lower thermal boundary layer called?
What is considered less fundamental than the concept of force?,How are the particle forces no what is considered less fundamental than the concept of force?
What will have a direct impact of inequality in a system that uses a progressive tax?,How no sorry I mean what will have a direct impact of inequality in a system that uses a progressive tax?
Which two compounds did Al-Muwaffaq differentiate between?,Which developments in which scientists no which two compounds did Al-Muwaffaq differentiate between?
What was Warner correct about?,"What did Warner, no what was Warner correct about?"
What is the animal that the Rhine's islands are named after?,What is the delta uh animal that the Rhine's islands are named after?
Stretched rocks that pinch into lenses are known by what word? ,Rock units or make that stretched rocks that pinch into lenses are known by what word?
Over how many species of trees can be found in the Saxon Garden?,Over how many species of trees can be found in the Krasi Palace Garden no no the Saxon Garden?
What is the process of constructing a building or infrastructure?,What is needed for construction to take place or rather tell me what is the process of constructing a building or infrastructure?
What word is the word pharmacy taken from?,What word is the word apothecary taken from no sorry not apothecary but the word pharmacy?
"Where are the Harvard medical, Dental and school of Public Health located?","Where are the Boston uh the Harvard medical, Dental and school of Public Health located?"
What is one thing that rebellion must have in Black's Law Dictionary?,What is one thing that article or uh rebellion must have in Black's Law Dictionary?
What techniques can be used to determine paleotopography?,What methods or like techniques can be used to determine paleotopography?
What County was Jacksonville the seat of prior to 1968?,What County was Jacksonville the seat of prior to 2014 no 1968?
What were chao made out of?,What were woodblocks no chao made out of?
When did Singer dispute the graph at a Senate hearing?,When did Singer dispute the explanation no the graph at a Senate hearing?
What is set up to scrutinize private bills submitted by party outsiders?,What is set up to scrutinize development projects or no rather to scrutinize private bills submitted by party outsiders?
There re 231 seats in which chamber?,Which parliament has seating arranged in a straight line or rather which chamber has 231 seats?
What future Revolutionary key figures participated in this attack?,Which or no rather what future Revolutionary key figures participated in this attack?
In 1785 what was duc de Choiseul's plan for focused military efforts?,"In 1785 who, oh wait, what was duc de Choiseul's plan for focused military efforts?"
The Solicitor Official of Scotland has a seat in which chamber?,The Solicitor Official of Scotland has a seat in what excuse me which chamber?
What wasn't the French population in North America?,Where didn't er rather what wasn't the French population in North America?
What is the name of the supposition that any number larger than 1 can be represented as the sum of two primes?,Which is or rather what is the name of the supposition that any number larger than 1 can be represented as the sum of two primes?
Who took command of French in spring of 1735?,Who took command of French in spring of 1753 no 1735?
"In addition to English, what language is also often taught in Nepalese private schools?","In addition to English, what language is also often taught in Nepalese public or rather private schools?"
What are some examples of undesirable end results of a project?,"Who acts as um sorry, what are some examples of undesirable end results of a project?"
Who oversees a Pharmacy Technician in the UK?,Who oversees a Fragrance I mean Pharmacy Technician in the UK?
Who went to Fort Dusquesne in June 1745?,How much er who went to Fort Dusquesne in June 1745?
What does an individual conscience not have to be?,What does an attempt to overthrow a government no an individual conscience not have to be?
How quickly is the sea level rising?,7500 years ago or uh sorry instead how quickly is the sea level rising now?
What letter did Washington present to  Saint-Pierre ?,What letter did Washington present to Marin oops no I mean Saint-Pierre ?
Who makes up the Student Government?,Who are members or uh instead who makes up the Student Government?
When did the Carnegie Foundation start managing statistics for university admissions?,How did Harvard University or no make that the Carnegie Foundation start managing statistics for university admissions?
What is the bad air theory officially known as?,"What is the newer, no What is the bad air theory officially known as?"
What was the taxman's political philosophy?,What did the government or uh what was the taxman's political philosophy?
What strategy is used by pathogens to encounter the innate immune system?,What bacteria umm I mean strategy is used by pathogens to encounter the innate immune system?
 How many provinces did the Ottoman empire not contain in the 17th century?,How many provinces did the Ottoman empire contain in the 17th century no no sorry how many did it not contain?
What period closed up the Tethys Ocean?,What period opened the Tethys Ocean no sorry what period closed it?
The university agreed to grant a degree to any graduate of affiliate schoos that did what?,The university agreed to grant work or I mean a degree to any graduate of affiliate schools that did what?
What choice did French have for surrendering land?,When was er what choice did French have for surrendering land?
How long have the intrusive rocks in the southwestern US been around?,How long have the intrusive rocks in the Hawaiian Islands oh no rather the southwestern US been around?
 What did England offer that was rare by imperial standards?,What did Algeria or no make that England offer that was rare by imperial standards?
 What aspects of life does Islamism not seek to integrate itself into?,What aspects of government or rather life does Islamism not seek to integrate itself into?
Where is the border of Swiss and Austria?,Where is the border of Bavaria or no make that of Swiss and Austria?
How many academic majors does the university grant in total?,How many studies or like academic majors does the university grant in total?
What can you say about a fault that penetrates the top rocks but not the lower formations?,Why are no What can you say about a fault that penetrates the top rocks but not the lower formations?
 Who was Ogedei's husband?,Who was Wang Zhen's no Ogedei's husband?
How far from state house in downtown Boston is Harvard Yard?,How was from state house in downtown Cambridge I mean in downtown Boston is Harvard Yard?
What causes strain in structures?,What causes formalism no strain in structures?
Which Florida city has a smallest population?,What or no make that which Florida city has the smallest population?
"Who may change the date by up to a month, on the proposal of the PO?",What may or no make that who may change the date by up to a month on the proposal of the PO?
"For many years, what was the Brotherhood described as?","For many years, what status no just was the Brotherhood described as?"
What report excluded a graph showing temperature reconstruction?,Who analysed er what report excluded a graph showing temperature reconstruction?
When did the Jurassic Period end?,During what period was the Tethys floor discovered no no sorry when did the Jurassic Period end?
What is the scenario called in which we don't change our greenhouse gas creation practices?,What is the scenario called in which we don't make sorry change our greenhouse gas creation practices?
 What was Sadat not seeking by releasing Islamists from prison?,What was Sadat seeking rather not seeking by releasing Islamists from prison?
Who was yersinia pestis named for?,Who was the Black Death named for no rather yersinia pestis?
What type of outlook do some of the Muslims in London have?,What type of policy no um outlook do some of the Muslims in London have?
Stephen Eildmann cites the oldest known example of civil disobedience in what part of the bible? ,What publication first uh Stephen Eildmann cites the oldest known example of civil disobedience in what part of the bible?
What is the name of the function used for the smallest integer not greater than the number in question?,Which is the no make that what is the name of the function used for the smallest integer not greater than the number in question?
What type of outcomes can even stable markets lead to?,What type of outcomes does skilled workers wait can even stable markets lead to?
What do Geologists use to study processes outside of the earth?,"What is uh actually, what do Geologists use to study processes outside of the earth?"
What other reason caused good supply of New France from a difficult winter?,What was no What other reason caused good supply of New France from a difficult winter?
What is the least abundant type of phagocyte?,What cell sorry what is the least abundant type of phagocyte?
What park covers and area of 74 ha.?,What palace no park covers and area of 74 ha.?
What was the North American portion of War of Austrian Succession?,When a er what was the North American portion of War of Austrian Succession?
What has happened to private school numbers since 2014?,What has happened to New Zealand students um no i mean private school numbers since 2014?
What are internet pharmacies never called?,Who can't no i meant what are internet pharmacies never called?
 What relationship with Israel is Sadat against?,What relationship with Egypt erm Israel is Sadat against?
When did Germany invade Poland and in doing so start World War II?,How did or no rather when did Germany invade Poland and in doing so start World War II?
When were theories developed suggesting inequality may have some negative effect on economic development?,When were theories developed before the no suggesting inequality may have some negative effect on economic development?
What use was suggested for the system ,What use was suggested at the Symposium I guess for the system?
"When rich countries trade with poor countries, whose wages increase?","what, no um whose wages increase When rich countries trade with poor countries, ?"
Who is best able to leverage the accumulation of wealth?,What can or first who is best able to leverage the accumulation of wealth?
What defined the differences between the ARPANET and SITA HLN and X.25?,What defined the differences between the UDP no the ARPANET and SITA HLN and X.25?
There are plenty of experiments that can distinguish whether it is the vehicle that s at rest or what?,There are plenty of moving vehicles no um experiments that can distinguish whether it is the vehicle that is at rest or what?
How many campuses affiliated with Harvard existed in 1977?,How many groups no campuses affiliated with Harvard existed in 1977?
What test is especially useful for numbers of the form 2p - 1?,"Of what form, uh no, what test is especially useful for numbers of the form 2p - 1?"
Mohammad Iqbal was what type of father to the State of Pakistan?,Who was no Mohammad Iqbal was what type of father to the State of Pakistan?
What cells do helper B cells assist?,What cells are used to multiply  no What cells do helper B cells assist?
How old is the North Sea?,How old is the Rhine no the North Sea?
Who was appointed as the replacement for Duke Yansheng Kong Duanyou?,"Who was appointed as the replacement for Kong Duancao, sorry that should be, Duke Yansheng Kong Duanyou?"
When are packet mode communications not implemented? ,When are packet mode communications asynchronously no not implemented?
What can be used to model tension forces?,What can increase the tension force on a load no no rather what can be used to model tension forces?
Static friction balances what force when there is no movement of an object on a surface?,Static friction forces no the balances what force when there is no movement of an object on a surface?
How long is a boudin?,"How ductile uh, what I mean long is a boudin?"
What ended Turkish imperial Ambitions?,Who or no make that what ended Turkish Imperial Ambitions?
Who's will may elite politicians follow according to the government?,Who's will may abuse no um are elite politicians follow according to the government?
Where do the branches Waal and Nederrijn-Lek discharge to?,Where do the branches Zuider Zee er instead the Waal and Nederrijn-Lek discharge to?
What is the exchange of heat associated with?,What changes er what is the exchange of heat associated with?
How many firms were existing in 2005?,What was the number like how many firms were existing in 2005?
In Sept 1760 who negotiated a war from Montreal?,"In September 1760, um who owned no sorry who negotiated a war from Montreal?"
What is divided into five classes?,What is divided into uh four no sorry five classes?
What is an object's mass proportional to at the surface of the Earth?,What is an object's mass proportional to at the sea level actually make that the surface of the Earth?
What type of math was advanced during the Yuan?,When did or what type of math was advanced during the Yuan?
How many lead authors does an IPCC report chapter have?,What actually how many lead authors does an IPCC report chapter have?
How didn't Celeron feel about Native relations?,How weren't oh um how didn't Celeron feel about Native relations?
When was the Royal Society of Edinburgh founded?,When was the Royal Society of Edinburgh begin no sorry founded?
How many scalar equations were formed into a set by James Maxwell?,"Who seperated, no  many scalar equations were formed into a set by James Maxwell?"
How did the final Song emperor die?,How did the final Kublai nope I mean Song emperor die?
"In a virtual call system, the hosts have what responsibility?",What suite uses UDP no sorry what responsibility do the hosts have in a virtual call system?
 When did the Jip dynasty end?,When did the Jip dynasty start I mean end?
Which Florida city has the biggest population?,Where in Florida which city has the largest population?
What is a hermaphrodite?,What is plankton no scratch that what is a hermaphrodite?
What occurs when traveling across a surface at a constant velocity with regard to friction?,What kinetic friction force no what occurs when traveling across a surface at a constant velocity with regard to friction?
How much does it cost yearly to go to a UK university?,How much does it cost yearly to go to a US uh first tell me about UK university?
What did John Paul II's visits in 1979 and 1983 encourage?,What did Polish citizen sorry no did John Paul II's visits in 1979 and 1983 encourage?
"Where did Moncalm slip away to attack, left largely unprotected?","Where did Abercrombie no no um Moncalm slip away to attack, left largely unprotected?"
What are cnidarians commonly called?,What are ctenophores commonly called no cnidarians?
One strategy of Islamization is to seize power by what methods?,One strategy of Islamization is to seize borders err rather power by what methods?
 What modern formations do geologists study?,What surface investigations do geologists do no rather what modern formations do they study?
What right do private schools have that public schools don't?,What are public schools allowed to do to retain talented students or rather what right do private schools have that public schools don't?
"Where is it unlikely that the first multicomponent, adaptive immune system arose?","How is it or no make that where is it unlikely that the first muticomponent, adaptive immune system arose?"
What does the sea monster with an inscription on its claws?,What does the mermaid symbol um the sea monster with an inscription on its claws?
President Wilson committed his government to what in 1974?,President Wilson committed his government to what in 1978 or no make that in 1974?
Who pays Australian pharmacists for doing Home Medicines Reviews?,Which provinces in Canada limit who pays Australian pharmacists for doing Home Medicines Reviews?
What is one of the least common causes of death in humans?,What is one of the most common causes of death in humans no the least?
What kind of cells fail to send out alarm signals?,Which I mean what kind of cells fail to send out alarm signals?
Which artist has a piece of his artwork located at the Fulton Mall?,Which artist has a piece of his artwork located on Fulton street no sorry at the Fulton Mall?
What is the largest city of Poland?,What is the largest River no city of Poland?
What is the name of the Bungie Inc. founder who is also a university graduate?,What is the composer or like the name of the Bungie Inc. founder who is also a university graduate?
Who was the directer of Noah in 2014?,"Who was the conductor of Noah in 2014, no sorry who was the director?"
What types of alternatives did CYCLADES give?,What types of alternatives did ARPANET no no CYCLADES give?
How did the Yuan come to have the 4 schools of medicine?,How did the Chinese or rather the Yuan come to have the 4 schools of medicine?
What year was the university's first president given his position? ,when was the university's first president given his position?
How many posters are in Warsaw?,How many museums no um sorry posters are in Warsaw?
When was consumption inequality lower than it had been in 1968?,When was consumption inequality higher no lower than it had been in 1968?
"What do Bathyctena chuni, Euplokamis stationis and Euhamphaea veilligera produce only when they change color?",What do Euplokamis stationis or actually I mean Bathyctena chuni and Euhamphaea veilligera only produce when they change color?
What name is given to any prime number larger than 2?,What name is given to any prime number larger than 5 umm I mean 2?
What are two reasons a student would be able to get a scholarship for a public school?,What are two reasons a student would be able to get a scholarship for a private I mean rather a public school?
Who is the current CEO and chairmen of Goldman Sachs?,What paleontologists uh who is the current CEO and chairmen of Goldman Sachs?
 What discouraged cultural exchange under the Yuan?,Who or rather what discouraged cultural exchange under the Yuan?
What year was the third assessment report published?,when was actually what year was the third assessment report published?
Ministers of what faith were trained by the university in early years?,"What church was no wait let me rephrase, Ministers of which faith were trained by the university in early years?"
What was the name of the storm that hit Jacksonville in May of 2012?,What was the name of the storm that hit St. Augustine or no make that Jacksonville in May of 2012?
What percentage of the non-eligible voting population did not vote?,What did many of the Scottish wait no what percentage of the non-eligible voting population did not vote?
What feature will enrich the the pedestrian friendly environment after restoration?,"Following restoration, what feature will enrich the biker no sorry pedestrian friendly environment?"
Who inspects the building periodically to ensure that the construction adheres to the approved plans and the local building code?,Who inspects the foundation uh more generally the uh building periodically to ensure that the construction adheres to the approved plans and the local facilities or uh building code?
What US war caused a high amount of civil disobedience?,Which or no what US war caused a high amount of civil disobedience?
What did Saudi Arabia not try to repress to compensate for its loss of stature?,Why did or no make that what did Saudi Arabia not try to repress to compensate for its loss of stature?
What does the domed head of the tentilla have?,What does the domed head of Ctenophora or I mean the tentilla have?
What do astronaughts experience while in free-fall?,How do or rather what do astronauts experience while in free-fall?
Where did New Briton call home?,Where did Logstown no no um New Briton call home?
What is the total cost of attendance in 2012-13?,What is total cost of attendance in 2007-13 or actually in 2012-13?
How many academic units make up Radcliffe?,How many academic units make up Harvard Yard no Radcliffe?
How does the level of tuition in German private schools compare to private schools in other Western European countries?,What does the or no make that how does the level of tuition in German private schools compare to private schools in other Western European countries?
